spread_window,zscore_window,entry_threshold,exit_threshold,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,num_trades,rank,pair_name,ticker1,ticker2
50,70,2.0,1.0,-5.581248978865915e-05,-2.3363746890048276e-05,-0.04053171173359243,-0.0009604969486134482,0.4444444444444444,9,41,MA_PPG,MA,PPG
30,50,2.0,1.0,-0.0001415138080982433,-5.9240775386548705e-05,-0.06072190635484738,-0.0013918917973513585,0.6153846153846154,13,42,MA_PPG,MA,PPG
70,70,2.5,1.0,-7.159688087544055e-05,-2.9971411150131466e-05,-0.06542639783041533,-0.0006595550302452466,0.25,4,43,MA_PPG,MA,PPG
30,30,2.5,0.0,-0.00027976605467876654,-0.0001171208974873883,-0.06969612271822898,-0.002581504911370502,0.7692307692307693,13,44,MA_PPG,MA,PPG
50,50,2.5,0.5,-0.00031693565336754546,-0.000132682963942643,-0.17388699283707967,-0.0013666474398490204,0.6666666666666666,6,45,MA_PPG,MA,PPG
30,70,1.5,1.0,-0.0005231879266561009,-0.00021904221767676813,-0.17695222624464427,-0.0016980264879614697,0.5,14,46,MA_PPG,MA,PPG
70,50,2.0,0.5,-0.0007200612341455416,-0.0003014840991726331,-0.2701854621891357,-0.0024733450137193907,0.4,10,47,MA_PPG,MA,PPG
30,30,1.0,0.0,-0.0015139282321493374,-0.0006340165272239462,-0.28312885721095393,-0.0037033734653631046,0.5384615384615384,26,48,MA_PPG,MA,PPG
70,70,1.5,0.5,-0.0006501942593201238,-0.0002722258024109303,-0.293805203266332,-0.0019090941730968416,0.5,10,49,MA_PPG,MA,PPG
70,50,1.5,0.0,-0.0010151706092475796,-0.00042508061345658543,-0.36202409404254005,-0.002099293855345281,0.5,12,50,MA_PPG,MA,PPG
70,50,2.5,0.5,-0.0004015570956155716,-0.00016811329394861296,-0.3717311867350507,-0.0006056185599221499,0.5,6,51,MA_PPG,MA,PPG
30,50,1.0,0.5,-0.0014862613919387514,-0.0006224249464764631,-0.41181164519340246,-0.0021692775660322257,0.55,20,52,MA_PPG,MA,PPG
30,30,1.5,0.0,-0.002357336559980176,-0.0009874691111479983,-0.47727188145456595,-0.0035908407769364753,0.5454545454545454,22,53,MA_PPG,MA,PPG
50,50,2.5,1.0,-0.001236030359895376,-0.0005175940893422659,-0.5322131532500974,-0.0019629400753361187,0.5,6,54,MA_PPG,MA,PPG
30,30,2.0,0.5,-0.0027298635601262504,-0.0011436417239061303,-0.5582220983136491,-0.004319659190447656,0.45,20,55,MA_PPG,MA,PPG
70,50,1.0,0.0,-0.001808492556183919,-0.0007574417717920445,-0.5778914968260394,-0.002622430179931647,0.5714285714285714,14,56,MA_PPG,MA,PPG
50,50,1.5,0.5,-0.0020990307350356304,-0.0008792007688150916,-0.6602595093466331,-0.0032328782217942898,0.5333333333333333,15,57,MA_PPG,MA,PPG
50,50,1.0,0.0,-0.0023286022794008023,-0.0009754243923806305,-0.7186599753820017,-0.003032509583548257,0.6,15,58,MA_PPG,MA,PPG
50,50,2.0,1.0,-0.0020154995791277905,-0.0008441923473514468,-0.7320772048829862,-0.002697771854176309,0.5833333333333334,12,59,MA_PPG,MA,PPG
70,70,1.0,0.5,-0.0020325469435792183,-0.0008513368643314756,-0.7436686698846328,-0.002699459918200085,0.5384615384615384,13,60,MA_PPG,MA,PPG
50,70,1.0,0.5,-0.0022734541165761765,-0.0009523081749668316,-0.7849409267195951,-0.0028638370269420312,0.46153846153846156,13,61,MA_PPG,MA,PPG
50,30,2.0,0.0,-0.0038958259764368995,-0.0016326615818799128,-0.7977360381753558,-0.005242234463586227,0.4666666666666667,15,62,MA_PPG,MA,PPG
30,30,2.5,0.5,-0.0033816737128718522,-0.0014169784136329744,-0.8609070241645421,-0.0033816737128718522,0.5384615384615384,13,63,MA_PPG,MA,PPG
50,30,2.5,0.0,-0.0031362784571532395,-0.0013140596791201276,-0.939154355593471,-0.0031362784571532395,0.4,10,64,MA_PPG,MA,PPG
70,50,2.5,1.0,-0.0012617417705833214,-0.0005283648280861586,-0.9504016158592754,-0.0013052677250072883,0.3333333333333333,6,65,MA_PPG,MA,PPG
50,30,2.0,0.5,-0.005078751906774851,-0.0021291363717479417,-0.9797111668476387,-0.006664803062762606,0.4666666666666667,15,66,MA_PPG,MA,PPG
